2026/05/22 12:59:26 Initializing NeoCP Professional Core Daemon...
2026/05/22 12:59:26 Workspace root path: /app
2026/05/22 12:59:26 Sanboxed user storage folder: /app/sandbox
2026/05/22 12:59:26 [Scanner] Initializing real-time malware & integrity protection...
2026/05/22 12:59:26 Starting premium HTTPS service on https://localhost:8443 (Self-Signed Dev Mode)...
2026/05/22 15:34:22 [Scanner] Audit complete. Scanned 1594 files. 0 threats detected.
2026/05/22 15:34:52 [Scanner] Audit complete. Scanned 1320 files. 0 threats detected.
2026/05/22 15:35:22 [Scanner] Audit complete. Scanned 3013 files. 0 threats detected.
2026/05/22 15:35:52 [Scanner] Audit complete. Scanned 2800 files. 0 threats detected.
2026/05/22 15:36:22 [Scanner] Audit complete. Scanned 1793 files. 0 threats detected.
2026/05/22 15:36:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:36:52 [Scanner] Audit complete. Scanned 5781 files. 0 threats detected.
2026/05/22 15:37:22 [Scanner] Audit complete. Scanned 2128 files. 0 threats detected.
2026/05/22 15:37:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:37:52 [Scanner] Audit complete. Scanned 2310 files. 0 threats detected.
2026/05/22 15:38:22 [Scanner] Audit complete. Scanned 2857 files. 0 threats detected.
2026/05/22 15:38:52 [Scanner] Audit complete. Scanned 3712 files. 0 threats detected.
2026/05/22 15:38:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:39:22 [Scanner] Audit complete. Scanned 3452 files. 0 threats detected.
2026/05/22 15:39:52 [Scanner] Audit complete. Scanned 1003 files. 0 threats detected.
2026/05/22 15:40:22 [Scanner] Audit complete. Scanned 4935 files. 0 threats detected.
2026/05/22 15:40:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:40:52 [Scanner] Audit complete. Scanned 3414 files. 0 threats detected.
2026/05/22 15:40:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:41:22 [Scanner] Audit complete. Scanned 5015 files. 0 threats detected.
2026/05/22 15:41:52 [Scanner] Audit complete. Scanned 3857 files. 0 threats detected.
2026/05/22 15:42:22 [Scanner] Audit complete. Scanned 3357 files. 0 threats detected.
2026/05/22 15:42:52 [Scanner] Audit complete. Scanned 2595 files. 0 threats detected.
2026/05/22 15:43:22 [Scanner] Audit complete. Scanned 5309 files. 0 threats detected.
2026/05/22 15:43:52 [Scanner] Audit complete. Scanned 5790 files. 0 threats detected.
2026/05/22 15:44:22 [Scanner] Audit complete. Scanned 3533 files. 0 threats detected.
2026/05/22 15:44:52 [Scanner] Audit complete. Scanned 4541 files. 0 threats detected.
2026/05/22 15:45:22 [Scanner] Audit complete. Scanned 1567 files. 0 threats detected.
2026/05/22 15:45:52 [Scanner] Audit complete. Scanned 1947 files. 0 threats detected.
2026/05/22 15:45:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:46:22 [Scanner] Audit complete. Scanned 2157 files. 0 threats detected.
2026/05/22 15:46:52 [Scanner] Audit complete. Scanned 2435 files. 0 threats detected.
2026/05/22 15:46:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:47:22 [Scanner] Audit complete. Scanned 2451 files. 0 threats detected.
2026/05/22 16:06:26 [Scanner] Audit complete. Scanned 4241 files. 0 threats detected.
2026/05/22 16:06:56 [Scanner] Audit complete. Scanned 4203 files. 0 threats detected.
2026/05/22 16:06:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 16:07:26 [Scanner] Audit complete. Scanned 2886 files. 0 threats detected.
2026/05/22 18:52:33 [Scanner] Audit complete. Scanned 4970 files. 0 threats detected.
2026/05/22 18:53:03 [Scanner] Audit complete. Scanned 1784 files. 0 threats detected.
2026/05/23 00:17:09 [Scanner] Audit complete. Scanned 3788 files. 0 threats detected.
2026/05/23 00:17:39 [Scanner] Audit complete. Scanned 1934 files. 0 threats detected.
2026/05/23 00:18:09 [Scanner] Audit complete. Scanned 2790 files. 0 threats detected.
2026/05/23 00:18:39 [Scanner] Audit complete. Scanned 3831 files. 0 threats detected.
2026/05/23 00:19:09 [Scanner] Audit complete. Scanned 2477 files. 0 threats detected.
2026/05/23 00:19:39 [Scanner] Audit complete. Scanned 3930 files. 0 threats detected.
2026/05/23 00:20:09 [Scanner] Audit complete. Scanned 1980 files. 0 threats detected.
2026/05/23 00:20:39 [Scanner] Audit complete. Scanned 5964 files. 0 threats detected.
2026/05/23 00:20:39 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:21:09 [Scanner] Audit complete. Scanned 5876 files. 0 threats detected.
2026/05/23 00:21:39 [Scanner] Audit complete. Scanned 5371 files. 0 threats detected.
2026/05/23 00:21:39 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:22:09 [Scanner] Audit complete. Scanned 2365 files. 0 threats detected.
2026/05/23 00:22:39 [Scanner] Audit complete. Scanned 2140 files. 0 threats detected.
2026/05/23 00:23:09 [Scanner] Audit complete. Scanned 5389 files. 0 threats detected.
2026/05/23 00:23:09 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 00:23:39 [Scanner] Audit complete. Scanned 2060 files. 0 threats detected.
2026/05/23 00:23:39 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/23 00:24:09 [Scanner] Audit complete. Scanned 3815 files. 0 threats detected.
2026/05/23 00:24:39 [Scanner] Audit complete. Scanned 1611 files. 0 threats detected.
2026/05/23 00:25:09 [Scanner] Audit complete. Scanned 2391 files. 0 threats detected.
2026/05/23 00:25:09 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:25:39 [Scanner] Audit complete. Scanned 5866 files. 0 threats detected.
2026/05/23 00:25:39 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 00:26:09 [Scanner] Audit complete. Scanned 4465 files. 0 threats detected.
2026/05/23 00:26:39 [Scanner] Audit complete. Scanned 1717 files. 0 threats detected.
2026/05/23 00:27:09 [Scanner] Audit complete. Scanned 3614 files. 0 threats detected.
2026/05/23 00:27:39 [Scanner] Audit complete. Scanned 5245 files. 0 threats detected.
2026/05/23 00:27:39 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 00:28:09 [Scanner] Audit complete. Scanned 5126 files. 0 threats detected.
2026/05/23 00:28:39 [Scanner] Audit complete. Scanned 5880 files. 0 threats detected.
2026/05/23 00:29:09 [Scanner] Audit complete. Scanned 4497 files. 0 threats detected.
2026/05/23 00:29:39 [Scanner] Audit complete. Scanned 4872 files. 0 threats detected.
2026/05/23 00:29:39 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/23 00:30:09 [Scanner] Audit complete. Scanned 2190 files. 0 threats detected.
2026/05/23 00:30:09 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:30:39 [Scanner] Audit complete. Scanned 3930 files. 0 threats detected.
2026/05/23 00:31:09 [Scanner] Audit complete. Scanned 1511 files. 0 threats detected.
2026/05/23 00:31:39 [Scanner] Audit complete. Scanned 1483 files. 0 threats detected.
2026/05/23 00:31:39 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:32:09 [Scanner] Audit complete. Scanned 4602 files. 0 threats detected.
2026/05/23 00:32:39 [Scanner] Audit complete. Scanned 4891 files. 0 threats detected.
2026/05/23 00:33:09 [Scanner] Audit complete. Scanned 2011 files. 0 threats detected.
2026/05/23 00:33:39 [Scanner] Audit complete. Scanned 2844 files. 0 threats detected.
2026/05/23 00:33:39 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:34:09 [Scanner] Audit complete. Scanned 2617 files. 0 threats detected.
2026/05/23 00:34:39 [Scanner] Audit complete. Scanned 1427 files. 0 threats detected.
2026/05/23 00:35:09 [Scanner] Audit complete. Scanned 1595 files. 0 threats detected.
2026/05/23 00:35:39 [Scanner] Audit complete. Scanned 5290 files. 0 threats detected.
2026/05/23 00:35:39 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/23 00:36:09 [Scanner] Audit complete. Scanned 2986 files. 0 threats detected.
2026/05/23 00:36:39 [Scanner] Audit complete. Scanned 1981 files. 0 threats detected.
2026/05/23 00:36:39 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/23 00:37:09 [Scanner] Audit complete. Scanned 2410 files. 0 threats detected.
2026/05/23 00:37:39 [Scanner] Audit complete. Scanned 4540 files. 0 threats detected.
2026/05/23 00:38:09 [Scanner] Audit complete. Scanned 2427 files. 0 threats detected.
2026/05/23 00:38:39 [Scanner] Audit complete. Scanned 1033 files. 0 threats detected.
